0,4070,15497,2748,8793,1921,45211,35730,7856,4974,5071,6590,3709,1854,6,8839,4794,1335,1652,566,13545,6863,70,382,822,1570,66,2633,1012,103,0,2887,3460,1121,50189,120,759,39,10555,5442,3824,593,485,873,802,1480,2579,123,310,127,374,0,229,2957,431,872,161,141,80,66,180,762,960,86,539,48,220,96,85,1144,253,103,11,16,498,772,25,6,39,272,91,18,203,5,164,13,31,9,35,13,6,5,80,28,9,18,8,25,1,21,1,4,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6867,24665,4947,16240,436,86057,75844,26827,51561,18017,2512,12401,18614,318,31600,10753,3066,3226,637,5323,15494,158,360,1285,2128,351,5204,1443,6213,0,4311,4279,758,223471,147,652,148,4256,8335,4089,1433,3985,2109,2564,1821,2637,274,1106,434,1567,101,980,1532,1487,1506,127,554,92,124,1048,1053,809,499,1039,141,94,308,104,129,263,665,43,38,688,286,98,69,1057,300,339,72,39,22,205,26,14,18,118,83,13,78,68,25,16,124,7,3,10,46,0,33,1,2,15,0,0,1,1
0,731,4335,2918,2063,91,12154,12227,1710,3416,2053,339,1634,955,38,4557,1647,311,1740,162,670,1046,10,40,173,1142,35,562,121,438,0,988,250,98,26257,34,192,15,489,1206,596,322,346,280,262,219,685,41,74,98,218,5,59,272,118,328,8,80,3,8,196,918,77,118,207,15,18,7,23,28,16,109,5,6,523,57,10,122,72,15,179,13,0,1,14,0,4,5,12,0,29,5,0,0,6,8,15,0,3,8,2,15,0,1,1,0,0,0,0
0,93,17285,2470,5167,6935,104386,45668,13281,1111,8071,6638,7496,944,4,8613,11713,186,9540,1175,28147,20725,109,656,2104,1456,0,7708,2003,121,0,8248,229,3349,14719,343,1063,82,30819,6848,7573,559,2357,1514,1996,11104,1124,86,644,189,21,3,356,16527,916,421,869,449,91,98,209,805,4357,96,1088,75,2442,197,136,169,288,402,79,76,800,410,35,12,79,134,470,136,341,349,98,34,11,23,9,0,35,4,8,43,23,8,8,130,22,4,0,0,0,0,1,0,0,0,0
0,112,4359,236,687,756,8306,3150,1007,2757,947,410,508,1024,13,1338,720,108,169,4,472,532,52,60,587,64,32,237,320,364,0,432,132,56,5338,4,286,0,1110,1498,110,82,12,33,58,452,2866,5,77,7,25,0,52,17,38,123,1,9,3,4,147,31,98,15,47,3,37,9,16,32,20,7,4,0,67,3,1,1,4,6,9,0,5,5,191,2,2,2,0,0,1,0,2,0,0,2,0,0,0,0,0,2,0,0,15,0,0,0,0
0,16608,195893,15152,52238,756,237283,255667,76496,119460,75074,5700,41163,49980,1341,127692,45601,10504,6512,3164,9485,32681,1096,1477,2247,6524,1536,16120,3597,10792,0,12486,15128,1275,535601,308,2530,235,5655,19703,8840,5631,5106,7799,9722,6045,16195,911,5190,1066,4675,382,2835,2785,5297,5754,448,2045,296,302,2944,3560,2699,1560,1654,573,364,1128,369,2286,821,1230,162,70,1906,668,224,196,2815,1312,887,333,38,27,970,60,116,68,933,869,98,66,463,62,83,291,6,12,18,80,4,104,8,23,17,0,1,0,0
0,7057,66368,16246,54497,7716,323159,116608,167072,66992,26228,22609,10588,13392,62,49413,48789,4732,16326,2693,19065,52311,280,1255,3690,7834,46,14212,3493,2110,0,19600,6794,7221,288238,8195,2840,3168,30572,16482,13657,2543,83685,17130,9864,9694,2349,2499,3824,1630,1648,112,795,36155,4722,6070,2981,1164,341,137,1035,3201,7480,337,4635,479,1515,4896,334,151,739,1306,121,102,1760,933,71,140,1796,1204,2197,515,396,176,61,202,61,148,89,36,66,17,101,83,143,264,30,35,113,52,0,4,11,16,17,0,1,0,0
0,4903,57290,3653,7789,408,80683,49687,34071,33761,14924,3161,8307,13856,65,14808,9654,1825,2390,1066,1853,7469,118,760,368,1767,49,2922,706,3152,0,3833,2144,909,159352,503,427,293,1668,9620,1037,389,8472,2165,1872,2243,5753,60,1495,949,923,31,439,3470,787,651,312,142,56,113,940,694,1332,269,386,82,162,747,27,188,309,352,57,10,187,76,11,16,734,200,356,173,34,7,25,17,3,18,126,105,22,108,132,29,22,106,0,3,37,24,0,25,0,1,0,0,0,0,0
0,148,22505,1530,1166,1854,257359,10351,77073,114,2605,10839,2396,160,35,8059,25076,2102,2261,329,3695,15253,542,443,1933,1435,29,4528,2483,31,0,9981,6848,1413,36632,1,2256,6,7001,8806,7444,145,78,188,1945,2570,300,29,3153,115,19,10,198,2080,827,504,127,729,53,96,2,598,1482,18,3116,106,63,22,16,20,525,71,96,66,525,241,11,11,432,19,440,400,83,2,10,110,18,172,1,0,118,0,7,0,44,0,1,1,115,15,0,0,0,0,21,0,0,0,0
